participant,group,test,stim1,stim2,stim3,response,odd-one-out,correct-response
C01-LV,LV,pre,bart,but,bart,3,2,0
C01-LV,LV,pre,bet,bit,bit,3,1,0
C01-LV,LV,pre,bot,bart,bot,2,2,1
C01-LV,LV,pre,bart,bot,bart,2,2,1
C01-LV,LV,pre,but,but,bart,3,3,1
C01-LV,LV,pre,board,buoyed,board,2,2,1
C01-LV,LV,pre,beat,bit,bit,1,1,1
C01-LV,LV,pre,bart,bert,bert,3,1,0
C01-LV,LV,pre,beat,bit,beat,2,2,1
C01-LV,LV,pre,bot,but,but,2,1,0
C01-LV,LV,pre,bat,but,but,1,1,1
C01-LV,LV,pre,bit,bite,bit,2,2,1
C01-LV,LV,pre,bet,bet,bait,3,3,1
C01-LV,LV,pre,bared,bird,bird,3,1,0
C01-LV,LV,pre,bird,bird,bared,1,3,0
C01-LV,LV,pre,bait,bet,bet,1,1,1
C01-LV,LV,pre,bait,bite,bite,1,1,1
C01-LV,LV,pre,bot,bot,but,2,3,0
C01-LV,LV,pre,bet,bait,bait,1,1,1
C01-LV,LV,pre,bout,bout,boat,3,3,1
C01-LV,LV,pre,put,poot,put,2,2,1
C01-LV,LV,pre,but,bot,but,2,2,1
C01-LV,LV,pre,but,bat,bat,1,1,1
C01-LV,LV,pre,beard,bared,bared,3,1,0
C01-LV,LV,pre,bart,but,but,1,1,1
C01-LV,LV,pre,bared,beard,bared,2,2,1
C01-LV,LV,pre,but,bart,bart,1,1,1
C01-LV,LV,pre,buoyed,board,board,1,1,1
C01-LV,LV,pre,bart,bart,bert,1,3,0
C01-LV,LV,pre,bout,boat,bout,1,2,0
C01-LV,LV,pre,bot,but,but,1,1,1
C01-LV,LV,pre,but,bart,but,1,2,0
C01-LV,LV,pre,bared,beard,beard,2,1,0
C01-LV,LV,pre,buoyed,buoyed,board,3,3,1
C01-LV,LV,pre,put,put,poot,3,3,1
C01-LV,LV,pre,bird,bared,bared,3,1,0
C01-LV,LV,pre,bite,bit,bite,2,2,1
C01-LV,LV,pre,board,buoyed,buoyed,1,1,1
C01-LV,LV,pre,bit,bit,beat,3,3,1
C01-LV,LV,pre,board,board,buoyed,1,3,0
C01-LV,LV,pre,beard,bared,beard,1,2,0
C01-LV,LV,pre,bart,bot,bot,1,1,1
C01-LV,LV,pre,bit,bet,bet,1,1,1
C01-LV,LV,pre,bait,bite,bait,2,2,1
C01-LV,LV,pre,boat,bout,bout,1,1,1
C01-LV,LV,pre,poot,put,poot,2,2,1
C01-LV,LV,pre,bite,bite,bait,3,3,1
C01-LV,LV,pre,bot,bart,bart,1,1,1
C01-LV,LV,pre,bared,bird,bared,2,2,1
C01-LV,LV,pre,bite,bit,bit,1,1,1
C01-LV,LV,pre,bot,but,bot,2,2,1
C01-LV,LV,pre,bout,boat,boat,1,1,1
C01-LV,LV,pre,but,bat,but,3,2,0
C01-LV,LV,pre,bert,bart,bart,1,1,1
C01-LV,LV,pre,bart,bart,bot,3,3,1
C01-LV,LV,pre,poot,put,put,1,1,1
C01-LV,LV,pre,bart,bart,but,1,3,0
