participant,vowel,group,test,duration,f1@50,f2@50
C010stHV,had,HV,post,232,917,1692
C010stHV,haired,HV,post,402,607,2435
C010stHV,hard,HV,post,370,941,1543
C010stHV,hayed,HV,post,344,458,2841
C010stHV,head,HV,post,187,682,2419
C010stHV,hear,HV,post,476,659,2233
C010stHV,heard,HV,post,245,710,971
C010stHV,heed,HV,post,281,451,2623
C010stHV,hid,HV,post,121,489,1598
C010stHV,hide,HV,post,318,850,1632
C010stHV,hoard,HV,post,314,639,1164
C010stHV,hod,HV,post,148,671,1277
C010stHV,hoed,HV,post,332,489,1681
C010stHV,hood,HV,post,173,547,1865
C010stHV,howd,HV,post,403,871,1516
C010stHV,hoyd,HV,post,291,600,1508
C010stHV,hud,HV,post,143,723,2060
C010stHV,whod,HV,post,403,473,2161
C011stHV,had,HV,post,236,911,1706
C011stHV,haired,HV,post,313,852,1957
C011stHV,hard,HV,post,320,926,1439
C011stHV,hayed,HV,post,347,420,1073
C011stHV,head,HV,post,198,558,2219
C011stHV,hear,HV,post,401,395,2370
C011stHV,heard,HV,post,426,560,1686
C011stHV,heed,HV,post,307,426,3090
C011stHV,hid,HV,post,149,381,2945
C011stHV,hide,HV,post,319,870,1507
C011stHV,hoard,HV,post,306,474,998
C011stHV,hod,HV,post,240,857,1513
C011stHV,hoed,HV,post,424,527,2030
C011stHV,hood,HV,post,174,397,2284
C011stHV,howd,HV,post,453,1149,1913
C011stHV,hoyd,HV,post,309,524,1502
C011stHV,hud,HV,post,284,597,1667
C011stHV,whod,HV,post,366,440,2070
C014stHV,had,HV,post,198,959,1123
C014stHV,haired,HV,post,280,905,2331
C014stHV,hard,HV,post,283,843,1433
C014stHV,hayed,HV,post,240,514,3202
C014stHV,head,HV,post,169,746,2091
C014stHV,hear,HV,post,311,624,3100
C014stHV,heard,HV,post,266,674,887
C014stHV,heed,HV,post,201,498,3191
C014stHV,hid,HV,post,86,518,1309
C014stHV,hide,HV,post,275,954,1415
C014stHV,hoard,HV,post,262,912,1183
C014stHV,hod,HV,post,172,875,1520
C014stHV,hoed,HV,post,271,634,1791
C014stHV,hood,HV,post,98,740,1749
C014stHV,howd,HV,post,265,1133,1601
C014stHV,hoyd,HV,post,246,765,1607
C014stHV,hud,HV,post,169,982,1384
C014stHV,whod,HV,post,230,646,1888
C015stHV,had,HV,post,200,1173,1764
C015stHV,haired,HV,post,278,1094,2242
C015stHV,hard,HV,post,329,835,1342
C015stHV,hayed,HV,post,304,594,2900
C015stHV,head,HV,post,172,840,2153
C015stHV,hear,HV,post,325,586,2879
C015stHV,heard,HV,post,179,935,2190
C015stHV,heed,HV,post,283,411,3202
C015stHV,hid,HV,post,120,435,2986
C015stHV,hide,HV,post,318,926,1781
C015stHV,hoard,HV,post,192,528,950
C015stHV,hod,HV,post,200,790,1326
C015stHV,hoed,HV,post,304,563,2062
C015stHV,hood,HV,post,144,589,1456
C015stHV,howd,HV,post,322,1062,1805
C015stHV,hoyd,HV,post,238,608,1358
C015stHV,hud,HV,post,172,1053,1762
C015stHV,whod,HV,post,356,535,1838
C016stHV,had,HV,post,165,920,1760
C016stHV,haired,HV,post,312,767,2095
C016stHV,hard,HV,post,333,878,1396
C016stHV,hayed,HV,post,348,617,2590
C016stHV,head,HV,post,210,696,1769
C016stHV,hear,HV,post,296,657,2510
C016stHV,heard,HV,post,324,729,1818
