participant,vowel,group,test,duration,f1@50,f2@50
C010stLV,had,LV,post,232,917,1692
C010stLV,haired,LV,post,402,607,2435
C010stLV,hard,LV,post,370,941,1543
C010stLV,hayed,LV,post,344,458,2841
C010stLV,head,LV,post,187,682,2419
C010stLV,hear,LV,post,476,659,2233
C010stLV,heard,LV,post,245,710,971
C010stLV,heed,LV,post,281,451,2623
C010stLV,hid,LV,post,121,489,1598
C010stLV,hide,LV,post,318,850,1632
C010stLV,hoard,LV,post,314,639,1164
C010stLV,hod,LV,post,148,671,1277
C010stLV,hoed,LV,post,332,489,1681
C010stLV,hood,LV,post,173,547,1865
C010stLV,howd,LV,post,403,871,1516
C010stLV,hoyd,LV,post,291,600,1508
C010stLV,hud,LV,post,143,723,2060
C010stLV,whod,LV,post,403,473,2161
C011stLV,had,LV,post,236,911,1706
C011stLV,haired,LV,post,313,852,1957
C011stLV,hard,LV,post,320,926,1439
C011stLV,hayed,LV,post,347,420,1073
C011stLV,head,LV,post,198,558,2219
C011stLV,hear,LV,post,401,395,2370
C011stLV,heard,LV,post,426,560,1686
C011stLV,heed,LV,post,307,426,3090
C011stLV,hid,LV,post,149,381,2945
C011stLV,hide,LV,post,319,870,1507
C011stLV,hoard,LV,post,306,474,998
C011stLV,hod,LV,post,240,857,1513
C011stLV,hoed,LV,post,424,527,2030
C011stLV,hood,LV,post,174,397,2284
C011stLV,howd,LV,post,453,1149,1913
C011stLV,hoyd,LV,post,309,524,1502
C011stLV,hud,LV,post,284,597,1667
C011stLV,whod,LV,post,366,440,2070
C014stLV,had,LV,post,198,959,1123
C014stLV,haired,LV,post,280,905,2331
C014stLV,hard,LV,post,283,843,1433
C014stLV,hayed,LV,post,240,514,3202
C014stLV,head,LV,post,169,746,2091
C014stLV,hear,LV,post,311,624,3100
C014stLV,heard,LV,post,266,674,887
C014stLV,heed,LV,post,201,498,3191
C014stLV,hid,LV,post,86,518,1309
C014stLV,hide,LV,post,275,954,1415
C014stLV,hoard,LV,post,262,912,1183
C014stLV,hod,LV,post,172,875,1520
C014stLV,hoed,LV,post,271,634,1791
C014stLV,hood,LV,post,98,740,1749
C014stLV,howd,LV,post,265,1133,1601
C014stLV,hoyd,LV,post,246,765,1607
C014stLV,hud,LV,post,169,982,1384
C014stLV,whod,LV,post,230,646,1888
C015stLV,had,LV,post,200,1173,1764
C015stLV,haired,LV,post,278,1094,2242
C015stLV,hard,LV,post,329,835,1342
C015stLV,hayed,LV,post,304,594,2900
C015stLV,head,LV,post,172,840,2153
C015stLV,hear,LV,post,325,586,2879
C015stLV,heard,LV,post,179,935,2190
C015stLV,heed,LV,post,283,411,3202
C015stLV,hid,LV,post,120,435,2986
C015stLV,hide,LV,post,318,926,1781
C015stLV,hoard,LV,post,192,528,950
C015stLV,hod,LV,post,200,790,1326
C015stLV,hoed,LV,post,304,563,2062
C015stLV,hood,LV,post,144,589,1456
C015stLV,howd,LV,post,322,1062,1805
C015stLV,hoyd,LV,post,238,608,1358
C015stLV,hud,LV,post,172,1053,1762
C015stLV,whod,LV,post,356,535,1838
C016stLV,had,LV,post,165,920,1760
C016stLV,haired,LV,post,312,767,2095
C016stLV,hard,LV,post,333,878,1396
C016stLV,hayed,LV,post,348,617,2590
C016stLV,head,LV,post,210,696,1769
C016stLV,hear,LV,post,296,657,2510
C016stLV,heard,LV,post,324,729,1818
C016stLV,heed,LV,post,220,451,2937
C016stLV,hid,LV,post,136,488,2369
C016stLV,hide,LV,post,365,805,1954
C016stLV,hoard,LV,post,287,521,1077
C016stLV,hod,LV,post,135,769,1601
C016stLV,hoed,LV,post,349,664,1899
C016stLV,hood,LV,post,193,562,1955
C016stLV,howd,LV,post,284,998,1797
C016stLV,hoyd,LV,post,311,630,1872
C016stLV,hud,LV,post,80,609,2040
C016stLV,whod,LV,post,316,394,2024
C018stLV,had,LV,post,129,1081,1802
C018stLV,haired,LV,post,308,974,1709
C018stLV,hard,LV,post,230,1049,1734
C018stLV,hayed,LV,post,233,811,2399
C018stLV,head,LV,post,179,703,877
C018stLV,hear,LV,post,377,598,2549
C018stLV,heard,LV,post,121,866,1653
C018stLV,heed,LV,post,400,635,2706
C018stLV,hid,LV,post,103,602,2218
C018stLV,hide,LV,post,277,1058,1685
C018stLV,hoard,LV,post,292,772,1176
C018stLV,hod,LV,post,122,777,1266
C018stLV,hoed,LV,post,356,798,2406
C018stLV,hood,LV,post,201,733,2362
C018stLV,howd,LV,post,285,756,975
C018stLV,hoyd,LV,post,270,872,1336
C018stLV,hud,LV,post,146,1071,1693
C018stLV,whod,LV,post,328,496,2931
C019stLV,had,LV,post,140,1303,1952
C019stLV,haired,LV,post,389,1124,1981
C019stLV,hard,LV,post,284,1020,1634
