participant,vowel,group,test,duration,f1@50,f2@50
C010reHV,had,HV,pre,116,1130,1188
C010reHV,haired,HV,pre,214,906,1413
C010reHV,hard,HV,pre,207,771,1401
C010reHV,hayed,HV,pre,207,737,2632
C010reHV,head,HV,pre,118,766,1323
C010reHV,hear,HV,pre,245,631,2890
C010reHV,heard,HV,pre,181,738,1501
C010reHV,heed,HV,pre,209,502,3341
C010reHV,hid,HV,pre,106,689,2569
C010reHV,hide,HV,pre,249,816,1421
C010reHV,hoard,HV,pre,183,697,1268
C010reHV,hod,HV,pre,119,746,1371
C010reHV,hoed,HV,pre,252,518,766
C010reHV,hood,HV,pre,101,627,1144
C010reHV,howd,HV,pre,239,881,1260
C010reHV,hoyd,HV,pre,240,743,1367
C010reHV,hud,HV,pre,114,864,1656
C010reHV,whod,HV,pre,182,482,1363
C011reHV,had,HV,pre,147,1108,1865
C011reHV,haired,HV,pre,166,1030,2553
C011reHV,hard,HV,pre,238,1165,1511
C011reHV,hayed,HV,pre,176,960,1059
C011reHV,head,HV,pre,108,839,2551
C011reHV,hear,HV,pre,269,518,3054
C011reHV,heard,HV,pre,219,951,1345
C011reHV,heed,HV,pre,182,461,3146
C011reHV,hid,HV,pre,98,701,2807
C011reHV,hide,HV,pre,207,1105,1339
C011reHV,hoard,HV,pre,207,693,1075
C011reHV,hod,HV,pre,98,869,1322
C011reHV,hoed,HV,pre,216,837,1252
C011reHV,hood,HV,pre,106,858,2654
C011reHV,howd,HV,pre,174,997,1490
C011reHV,hoyd,HV,pre,247,821,1897
C011reHV,hud,HV,pre,76,1042,1543
C011reHV,whod,HV,pre,226,430,1250
C012reHV,had,HV,pre,176,1148,1982
C012reHV,haired,HV,pre,199,823,2387
C012reHV,hard,HV,pre,223,860,1424
C012reHV,hayed,HV,pre,277,595,2610
C012reHV,head,HV,pre,149,710,1889
C012reHV,hear,HV,pre,253,1057,1931
C012reHV,heard,HV,pre,187,727,1725
C012reHV,heed,HV,pre,195,428,2960
C012reHV,hid,HV,pre,161,617,2743
C012reHV,hide,HV,pre,238,949,1687
C012reHV,hoard,HV,pre,222,588,1202
C012reHV,hod,HV,pre,175,835,1416
C012reHV,hoed,HV,pre,260,852,1674
C012reHV,hood,HV,pre,165,770,1616
C012reHV,howd,HV,pre,297,1086,1853
C012reHV,hoyd,HV,pre,286,836,1601
C012reHV,hud,HV,pre,143,921,1707
C012reHV,whod,HV,pre,284,402,1712
C013reHV,had,HV,pre,156,1314,2091
C013reHV,haired,HV,pre,232,1093,2401
C013reHV,hard,HV,pre,190,1225,1735
C013reHV,hayed,HV,pre,232,755,2271
C013reHV,head,HV,pre,183,731,1692
C013reHV,hear,HV,pre,260,819,1638
C013reHV,heard,HV,pre,203,1226,2103
C013reHV,heed,HV,pre,198,557,3124
C013reHV,hid,HV,pre,70,549,2038
C013reHV,hide,HV,pre,236,1243,1917
C013reHV,hoard,HV,pre,205,844,1564
C013reHV,hod,HV,pre,142,998,1782
C013reHV,hoed,HV,pre,197,1004,1174
C013reHV,hood,HV,pre,89,639,1692
C013reHV,howd,HV,pre,246,1127,1297
C013reHV,hoyd,HV,pre,261,698,1517
C013reHV,hud,HV,pre,127,1022,1872
C013reHV,whod,HV,pre,168,514,1569
C014reHV,had,HV,pre,253,926,1048
C014reHV,haired,HV,pre,328,741,1598
C014reHV,hard,HV,pre,230,831,1259
C014reHV,hayed,HV,pre,239,516,1488
C014reHV,head,HV,pre,63,538,1094
C014reHV,hear,HV,pre,290,570,3019
C014reHV,heard,HV,pre,136,896,1029
C014reHV,heed,HV,pre,318,546,3236
C014reHV,hid,HV,pre,316,599,2971
C014reHV,hide,HV,pre,391,795,1511
C014reHV,hoard,HV,pre,214,528,1178
C014reHV,hod,HV,pre,205,637,1569
C014reHV,hoed,HV,pre,337,877,1631
C014reHV,hood,HV,pre,168,683,981
C014reHV,howd,HV,pre,288,902,1813
C014reHV,hoyd,HV,pre,410,615,849
C014reHV,hud,HV,pre,135,728,1817
C014reHV,whod,HV,pre,235,480,1120
C015reHV,had,HV,pre,202,1113,1922
C015reHV,haired,HV,pre,235,795,1599
C015reHV,hard,HV,pre,241,909,1370
C015reHV,hayed,HV,pre,322,556,2310
C015reHV,head,HV,pre,150,844,1517
C015reHV,hear,HV,pre,270,774,1932
C015reHV,heard,HV,pre,268,792,1857
C015reHV,heed,HV,pre,248,547,2420
C015reHV,hid,HV,pre,174,789,1803
C015reHV,hide,HV,pre,238,1040,1557
C015reHV,hoard,HV,pre,238,790,1451
C015reHV,hod,HV,pre,202,758,1413
C015reHV,hoed,HV,pre,281,562,2110
C015reHV,hood,HV,pre,238,778,2140
C015reHV,howd,HV,pre,297,1098,1670
C015reHV,hoyd,HV,pre,281,1147,1472
