participant,vowel,group,test,duration,f1@50,f2@50
C010re-LV,had,LV,pre,180,934,1793
C010re-LV,haired,LV,pre,329,729,2252
C010re-LV,hard,LV,pre,243,935,1260
C010re-LV,hayed,LV,pre,250,568,2642
C010re-LV,head,LV,pre,134,618,974
C010re-LV,hear,LV,pre,321,563,2433
C010re-LV,heard,LV,pre,247,827,1784
C010re-LV,heed,LV,pre,324,471,3077
C010re-LV,hid,LV,pre,139,526,2605
C010re-LV,hide,LV,pre,275,878,1624
C010re-LV,hoard,LV,pre,268,668,1293
C010re-LV,hod,LV,pre,254,668,1621
C010re-LV,hoed,LV,pre,335,724,2314
C010re-LV,hood,LV,pre,146,585,1696
C010re-LV,howd,LV,pre,428,879,1561
C010re-LV,hoyd,LV,pre,303,504,1373
C010re-LV,hud,LV,pre,141,911,1627
C010re-LV,whod,LV,pre,160,414,1483
C011re-LV,had,LV,pre,237,985,2090
C011re-LV,haired,LV,pre,355,806,2590
C011re-LV,hard,LV,pre,274,983,1648
C011re-LV,hayed,LV,pre,297,601,2822
C011re-LV,head,LV,pre,226,492,1499
C011re-LV,hear,LV,pre,343,584,3003
C011re-LV,heard,LV,pre,287,698,1597
C011re-LV,heed,LV,pre,308,427,3129
C011re-LV,hid,LV,pre,147,433,2554
C011re-LV,hide,LV,pre,400,958,1807
C011re-LV,hoard,LV,pre,370,662,1107
C011re-LV,hod,LV,pre,219,717,1426
C011re-LV,hoed,LV,pre,434,603,2251
C011re-LV,hood,LV,pre,248,396,2148
C011re-LV,howd,LV,pre,553,859,1534
C011re-LV,hoyd,LV,pre,513,308,1002
C011re-LV,hud,LV,pre,349,912,1698
C011re-LV,whod,LV,pre,333,292,2330
C012re-LV,had,LV,pre,200,717,2079
C012re-LV,haired,LV,pre,255,649,2111
C012re-LV,hard,LV,pre,144,765,1424
C012re-LV,hayed,LV,pre,285,446,604
C012re-LV,head,LV,pre,174,559,2705
C012re-LV,hear,LV,pre,345,450,2620
C012re-LV,heard,LV,pre,225,708,2011
C012re-LV,heed,LV,pre,422,450,1632
C012re-LV,hid,LV,pre,114,576,2618
C012re-LV,hide,LV,pre,275,854,1764
C012re-LV,hoard,LV,pre,153,718,957
C012re-LV,hod,LV,pre,125,559,893
C012re-LV,hoed,LV,pre,230,565,2222
C012re-LV,hood,LV,pre,127,609,1455
C012re-LV,howd,LV,pre,291,338,1350
C012re-LV,hoyd,LV,pre,307,530,1914
C012re-LV,hud,LV,pre,108,826,1871
